,P1,P2,P3,P4,P5,HML
2024-06-30,-0.03290571519570312,-0.04522998045416342,-0.0461693400688492,-0.05715199492792157,-0.037769343865476195,-0.004863628669773072
2024-07-31,0.02745747815578125,0.009999218457237353,0.00504569723685259,-0.009382658748235297,-0.001172606565856575,-0.028630084721637826
2024-08-31,-0.017109569216015624,-0.029451128678754865,-0.011044867544000001,-0.0377430162427451,-0.013555068523505976,0.003554500692509647
2024-09-30,0.12625607792037918,0.14039387972521417,0.13114941938276892,0.1282993374826191,0.13371369800168378,0.0074576200813046
2024-10-31,0.0016898927076078438,0.005258844235351563,-0.0024946983512048214,-0.017630684672332014,-0.020205976511553782,-0.021895869219161625
2024-11-30,0.03966590242313725,0.014866364804296876,0.023857061884779117,0.02526914836086957,0.026926624109721114,-0.012739278313416137
2024-12-31,-0.024472424583529415,-0.023432930085937498,-0.014069779012851407,-0.026343178162896826,-0.008766705855378488,0.01570571872815093
2025-01-31,-0.004582240525490194,0.002044259306431374,0.005172086968273092,-0.007414467908611111,-0.019570738266533865,-0.01498849774104367
2025-02-28,0.017297280674509804,0.03560580726901961,0.030124236715863454,0.030192111100476197,-0.006353521117131476,-0.02365080179164128
2025-03-31,-0.0270451889427451,-0.018889629753307085,-0.005425932576506023,-0.007387300468452379,0.007746411244621512,0.034791600187366614
2025-04-30,-0.0181310241461811,-0.008611510202529643,-0.017231747459677416,-0.008966723750515873,-0.002191287752822581,0.01593973639335852
2025-05-31,0.030233184839566926,0.0409487048993254,0.04516142983004049,0.04972101448293651,0.041682907887096776,0.01144972304752985
2025-06-30,0.040884836711857706,0.05528470077603174,0.0562026802522672,0.037322852450396835,0.03457167134274194,-0.006313165369115768
2025-07-31,0.047824175198406385,0.06278759752869047,0.05252399134552846,0.05450132338373016,0.055531053903967606,0.007706878705561221
2025-08-31,0.057522736057680005,0.05724885033051587,0.08347875530032521,0.05056819306785715,0.04750420617635626,-0.010018529881323741
2025-09-30,0.015789000035280002,0.02802113768460317,0.026850821736991867,0.011625888714087302,0.005672913689028339,-0.010116086346251663
2025-10-31,-0.0011691714883132523,0.010495009772430277,-0.009836108299591835,-0.004663845134262948,0.0050224047095951425,0.006191576197908395
2025-11-30,-0.000674613430923695,-0.00210059771434263,-0.013975508759836735,-0.0182297998974502,-0.003907275756275303,-0.003232662325351608
2025-12-31,0.013611403409137975,0.012128149040159361,0.011934160399183675,-0.0009635255047999998,-0.0013791328214574881,-0.014990536230595463
